filename,label,centroid_mean,centroid_var,bandwidth_mean,bandwidth_var,zcr_mean,zcr_var,chroma_mean,chroma_var,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
blues.00015_part2.wav,0,1321.4604777167979,89431.60399926706,1759.6415157668666,102210.16619550626,0.052460847077546294,0.0008430803457814153,0.28821036,0.097422816,-248.29141,4757.621,123.21783,470.4354,5.0613155,1168.3022,38.73276,178.73148,2.0487154,394.09787,12.991579,98.67769,6.8195314,169.86879,1.4956648,145.14726,-13.544074,77.741394,11.760455,65.48189,4.4662013,67.07153,-0.7517669,58.082123,1.5970716,74.138565,2.1531491,72.4527,-5.9137235,58.672215,-7.8668475,86.48677,-10.386354,106.38468,-5.581345,71.39639,3.8929484,55.890682,-1.1649625,148.09114
blues.00048_part0.wav,0,2153.683276324708,151790.01875196627,2239.5673964927855,77188.508888092,0.09864185474537036,0.0015462150462533875,0.37390056,0.085887745,-110.36918,1898.3701,102.547325,294.29144,-19.077524,331.5698,58.328144,88.925865,-10.657304,124.693245,36.01116,62.7821,-13.764101,85.44586,25.567198,82.3663,-17.733406,51.10809,19.491976,92.39508,-17.087896,59.401268,10.411669,49.864315,-6.5590096,37.01574,6.5708017,49.827175,-14.196394,33.277073,3.430245,37.354027,-6.2859507,37.322056,-2.663712,81.74318,-4.2547603,55.08233,-1.92974,35.644142
blues.00035_part0.wav,0,1658.7483573692514,577414.4826349986,2185.6390634272652,251741.3590362441,0.04891176576967592,0.0008363951820323169,0.24428123,0.093606494,-168.47131,1883.4595,114.66442,780.4335,16.777382,251.81334,20.1014,173.33775,-11.069483,194.50706,28.183775,151.66765,-29.557884,149.36687,17.325949,97.29172,-27.361538,102.08742,1.468649,128.78116,-20.801807,109.22961,-3.6766186,76.137245,-18.004755,104.44909,-6.783117,52.18154,-14.30586,57.14463,-10.847439,71.358864,-10.511717,41.201122,-9.04198,37.29028,-15.991069,52.78374,-20.357986,36.801445
blues.00039_part0.wav,0,820.4891360239387,140020.6233511346,1348.4222620095939,143036.59703576987,0.029378255208333332,0.00012610576770923757,0.25743794,0.09515963,-332.60052,2409.646,131.65695,251.3334,19.06283,227.53978,11.034314,181.58307,11.731728,128.97394,19.432848,70.5713,-10.827586,72.98228,-6.858682,65.45545,-18.125217,40.75984,-15.107537,49.386627,-15.274344,46.030518,-13.321416,33.351913,-17.826017,30.971462,-17.276762,57.9902,-18.966604,69.95226,-23.457415,56.70423,-14.681133,46.199142,-8.135273,43.799297,-2.4214022,50.929035,3.029251,98.7204
blues.00060_part5.wav,0,2019.925608772495,103586.87929840955,2050.1010125623807,45383.63886646945,0.09821460865162036,0.0012479320178715456,0.4298204,0.08011306,-60.86291,1263.8391,107.15469,232.61044,-32.42939,227.03056,60.502605,238.79926,-1.8941283,160.82169,29.759365,118.746925,-13.949471,84.846634,23.752096,82.43185,-10.529028,67.20527,18.847166,87.35847,-6.747504,38.979385,11.608192,27.133873,-12.609831,36.322315,3.0414982,28.832022,-5.441422,33.32337,7.1492987,36.19917,-5.944556,24.080956,1.3429837,42.10898,-4.5178885,50.62186,0.99674225,50.844196
blues.00067_part1.wav,0,2228.5824511916985,215715.85866323314,2144.4405109863105,53579.71336319447,0.11133038556134259,0.0017897983340978295,0.33395004,0.08538177,-93.83516,955.04596,103.30973,363.24063,-23.19255,388.92136,48.40888,153.41873,-30.159197,92.977486,21.315489,99.55866,-19.733202,302.21912,14.834253,64.8577,-13.053932,88.5166,15.3637,57.581734,-11.66163,95.64983,6.2196417,53.54475,-19.84249,81.882805,3.1371603,53.918068,-9.127499,73.31694,3.0559268,58.69305,-10.513549,75.548996,9.994079,80.32245,-2.4604113,77.50448,1.5884173,65.02937
blues.00087_part1.wav,0,1566.2743495876077,771759.0742337097,1941.1798614062263,191769.6825755044,0.05630832248263889,0.0028459683152628535,0.3341242,0.098550186,-159.34256,2851.9995,119.32413,1399.6733,2.6347644,377.38,50.37736,438.05313,6.793634,195.77003,28.772364,159.01315,-12.710085,168.68779,18.06931,113.26705,-13.96504,147.0489,3.6433315,107.11645,-10.348737,108.15464,1.8253014,97.2188,-9.050387,71.28315,-0.60431296,56.51486,-8.910469,72.539604,4.8877044,58.58047,-8.156074,30.021605,-1.0374358,64.696594,1.9064147,61.077904,-3.9243295,86.81158
blues.00045_part4.wav,0,1657.0553076333092,118229.82820225033,2282.3486461202224,68988.03598109452,0.040088794849537035,0.00011904787052478975,0.4134773,0.08603885,-165.86163,556.08234,93.21779,188.84427,15.665283,156.16153,79.38288,53.42185,3.7067685,29.057947,41.02139,41.416622,-4.966613,37.13967,27.656702,31.604307,-13.338265,33.672726,3.2102752,34.754837,-22.624609,27.31879,4.0034957,25.727407,-5.2321143,39.216896,-0.5230091,22.437569,-19.383726,32.3582,2.5317285,25.133911,-5.4043174,28.053598,-6.010117,23.895376,-8.9965925,23.537222,2.8076875,20.276236
blues.00049_part4.wav,0,1337.8387134645254,392916.9673411618,1940.4610345980584,156600.4990145189,0.03737838179976852,0.0004463763588168166,0.269961,0.085690595,-239.16309,2033.7063,110.75893,613.46,17.500526,125.34281,72.45475,113.22565,3.2441356,142.18588,48.643375,71.07526,-2.444857,57.735344,14.162132,60.21709,-7.8647823,85.25165,2.9434786,78.448105,-20.286366,34.33276,0.8887398,45.265697,-7.179662,38.96906,-10.945362,34.467857,-13.813899,44.00372,2.7000947,27.742636,-12.070609,26.411638,-7.847678,30.4968,-2.2363708,27.515581,-3.3021555,24.763414
blues.00087_part3.wav,0,1377.1771789083125,228759.3045280459,1795.947002218506,112379.20239247002,0.04772044994212963,0.0008129747111774439,0.3532493,0.09612382,-147.6667,3319.0254,129.37282,597.11066,-6.680387,617.5839,45.8285,321.94998,2.8229358,236.53831,24.211258,80.18032,-9.1755085,287.64896,14.081484,102.49529,-11.275048,192.2627,2.8583312,85.36586,-4.800449,85.545296,-0.59334105,85.41762,-6.094769,87.68048,1.1305672,54.795273,-6.8777027,58.174625,5.4891257,64.57241,-6.562836,40.058365,2.3777676,81.0981,2.5770788,53.620304,-5.392286,84.08641
